post_id,username,text,likes,retweets,following,followers,model_score,ai_insight
post_1,user1,This is a sample post number 1 with potential misinformation or fact-checking relevance.,81,5,346,62459,0.477,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 1]
post_2,user2,This is a sample post number 2 with potential misinformation or fact-checking relevance.,733,84,2034,32241,0.879,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 2]
post_3,user3,This is a sample post number 3 with potential misinformation or fact-checking relevance.,12,249,2882,51031,0.849,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 3]
post_4,user4,This is a sample post number 4 with potential misinformation or fact-checking relevance.,768,250,4614,32643,0.492,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 4]
post_5,user5,This is a sample post number 5 with potential misinformation or fact-checking relevance.,227,160,4098,14162,0.957,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 5]
post_6,user6,This is a sample post number 6 with potential misinformation or fact-checking relevance.,836,277,1794,23472,0.718,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 6]
post_7,user7,This is a sample post number 7 with potential misinformation or fact-checking relevance.,366,449,1783,16912,0.545,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 7]
post_8,user8,This is a sample post number 8 with potential misinformation or fact-checking relevance.,317,456,3260,56873,0.191,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 8]
post_9,user9,This is a sample post number 9 with potential misinformation or fact-checking relevance.,477,224,1412,75804,0.665,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 9]
post_10,user10,This is a sample post number 10 with potential misinformation or fact-checking relevance.,177,326,477,1306,0.335,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 10]
post_11,user11,This is a sample post number 11 with potential misinformation or fact-checking relevance.,56,418,1341,43325,0.857,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 11]
post_12,user12,This is a sample post number 12 with potential misinformation or fact-checking relevance.,139,458,4805,30359,0.378,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 12]
post_13,user13,This is a sample post number 13 with potential misinformation or fact-checking relevance.,28,449,1222,82202,0.911,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 13]
post_14,user14,This is a sample post number 14 with potential misinformation or fact-checking relevance.,164,164,769,61122,0.993,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 14]
post_15,user15,This is a sample post number 15 with potential misinformation or fact-checking relevance.,883,297,373,7196,0.841,This post may require fact-checking because it references sensitive information and is gaining traction. [Insight 15]
